Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
Kilroy_Reality,2019,COMMITTED TO CARBON NEUTRAL OPERATIONS by Year-End 2020,4,This statement refers to a specific commitment to achieve carbon-neutral operations by the end of 2020.,,
Kilroy_Reality,2019,ENERGY STAR Partner of the Year 2014 - 2020,,,3,This statement refers to a past commitment and achievement of being an ENERGY STAR Partner of the Year from 2014 to 2020.
Kilroy_Reality,2019,we are committed to establishing carbon neutral operations by year-end of 2020.,4,This statement refers to a specific commitment to achieve carbon-neutral operations by the end of 2020.,,
Kilroy_Reality,2019,6.5 LIKE FOR LIKE % EMISSIONS REDUCTION FROM 2018,,,3,This statement refers to a past commitment and achievement of reducing emissions by 6.5% from 2018.
Kilroy_Reality,2019,building on our momentum of becoming the first North American REIT to commit to carbon neutral operations by year-end 2020.,4,This statement refers to a specific commitment to achieve carbon-neutral operations by the end of 2020.,2,"This statement refers to a past commitment to achieve carbon-neutral operations, but the status of this commitment is unknown."
Kilroy_Reality,2019,"Over the next five years, our focus will be on expanding our climate change resilience programs as well as our workforce development programs.",2,This statement refers to a high-level commitment to expand climate change resilience programs in the future.,,
Kilroy_Reality,2019,"Our main sustainability challenge is managing our Scope 3 carbon emissions, which are created by our operations outside of our electricity and gas consumption. Scope 3 emissions are our largest source of emissions and are also the most difficult to calculate and manage. However, we are committed to improving our Scope 3 emissions via targeting significant reductions in the embodied carbon of our construction materials and procuring additional renewables for our portfolio.","3, 5",The company has a specific numeric target to reduce Scope 3 emissions. | The company has a detailed plan to reduce Scope 3 emissions by targeting reductions in the embodied carbon of construction materials and procuring additional renewables.,,
Kilroy_Reality,2019,We look forward to reporting on additional industry-leading achievements in 2020.,2,This statement implies a high-level commitment to achieve and report on sustainability achievements in the future.,,
Kilroy_Reality,2019,We are the premier developer and operator of LEED properties on the West Coast. All of our development projects are built to LEED Platinum and Gold standards and our stabilized portfolio is 64% LEED certified.,,,3,"This statement acknowledges progress towards sustainability goals, as the company has achieved LEED certification for a significant portion of its portfolio."
Kilroy_Reality,2019,"We ended the year with more Fitwel certifications than any non-government landlord, with 19 certifications across 43% of our portfolio.",,,3,"This statement acknowledges progress towards sustainability goals, as the company has achieved a significant number of Fitwel certifications."
Kilroy_Reality,2019,"we have committed to achieving carbon neutral operations by year-end 2020, as described further below.",4,The company has made a specific commitment to achieving carbon neutral operations by the end of 2020.,,
Kilroy_Reality,2019,"For Scopes 1 and 2, this exceeds our carbon reduction goals previously validated by Science-Based Targets, which was a 72% reduction across Scopes 1, 2 and 3 by 2050.",6,"The company is referring to a commitment that is based on an external framework, the Science-Based Targets.",2,"The company is referring to a past commitment, but the status of this commitment is not clear."
Kilroy_Reality,2019,"Our CEO, John Kilroy, announced at the 2018 Global Climate Action Summit (GCAS) that we commit to achieving carbon neutral operations by year end 2020.",4,The company has made a specific commitment to achieving carbon neutral operations by the end of 2020.,2,"The company is referring to a past commitment, but the status of this commitment is not clear."
Kilroy_Reality,2019,"Through these programs, KRC will reach Scope 1 (direct emissions from onsite combustion of natural gas) and Scope 2 market-based (indirect emissions from onsite consumption of electricity, including offsite work) carbon neutrality by the end of 2020, exceeding our carbon reduction goals previously validated by Science-Based Targets (see page 8).","4, 6","The company has made a specific commitment to achieving carbon neutrality by the end of 2020. | The company is referring to a commitment that is based on an external framework, the Science-Based Targets.",2,"The company is referring to a past commitment, but the status of this commitment is not clear."
Kilroy_Reality,2019,JOHN KILROY MAKES CARBON NEUTRAL OPERATIONS ANNOUNCEMENT AT THE GLOBAL CLIMATE ACTION SUMMIT,4,"This statement refers to a commitment to achieve carbon-neutral operations, which aligns with category 4 of Taxonomy A.",,
Kilroy_Reality,2019,Achieve a 100% like-for-like reduction in Scope 1 and Scope 2 market-based GHG emissions from a 2017 base year by year-end 2020 and 50% by year-end 2050,3,"This statement provides a specific numeric target for reducing GHG emissions, which aligns with category 3 of Taxonomy A.",,
Kilroy_Reality,2019,"We achieved an 6.5% reduction in Scope 1 and Scope 2 market-based GHG emissions, and have all agreements in place to achieve a 100% reduction by year-end 2030",3,"This statement provides a specific numeric target for reducing GHG emissions, which aligns with category 3 of Taxonomy A.",3,"This statement acknowledges progress towards a past commitment, which aligns with category 3 of Taxonomy B."
Kilroy_Reality,2019,We reduced energy consumption by 1.8% across the whole portfolio in 2019.,,,3,"This statement acknowledges progress towards a past commitment to reduce energy consumption, which aligns with category 3 of Taxonomy B."
Kilroy_Reality,2019,"Our total installed solar portfolio is 4.3 MW across seven sites, and their production in 2019 was over 6,000 MWh, which represents 2.2% of our overall energy consumption.",,,3,"This statement acknowledges progress towards a past commitment to increase solar energy production, which aligns with category 3 of Taxonomy B."
Kilroy_Reality,2019,"We decreased water consumption 5.6% from 2018 levels. We saved nearly 840,000 gallons of potable water via our reclaimed water infrastructure.",2,This statement refers to a high-level commitment to decrease water consumption.,3,This statement acknowledges progress towards a past commitment to decrease water consumption.
Kilroy_Reality,2019,"We now want to take on more ambitious water projects, such as more sophisticated onsite water recycling in new developments.",2,This statement refers to a high-level commitment to take on more ambitious water projects.,,
Kilroy_Reality,2019,We increased our recycling diversion percentage from 40.4% in baseline year 2018 to 41.5% in 2019.,2,This statement refers to a high-level commitment to increase recycling diversion percentage.,3,This statement acknowledges progress towards a past commitment to increase recycling diversion percentage.
Kilroy_Reality,2019,"In 2019, we had an impressive array of development projects underway all targeting LEED Gold or Platinum.",3,This statement refers to a specific numeric target for LEED certifications.,,
