Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
Kilroy_Reality,2014,"In 2014, we achieved significant milestones in sustainability and received global recognition for our commitment to reducing the environmental footprint of our buildings.",2,This statement refers to a high-level commitment to sustainability and reducing environmental footprint.,3,This statement acknowledges progress and achievements in sustainability in the past year.
Kilroy_Reality,2014,"As we operate at this higher standard, we will continue to expand our sustainability programs even further.",2,This statement refers to a high-level commitment to expand sustainability programs in the future.,,
Kilroy_Reality,2014,"By the end of 2015, we project reaching our goal of reducing energy usage by 10% from 2010 levels. Over the coming five years, we aim to re-double our efforts around water and expect to get to 10% reduction from 2012 levels by year-end 2018.",3,This statement refers to specific numeric targets for reducing energy usage and water consumption.,,
Kilroy_Reality,2014,"We have been recognized by organizations around the world for our commitment to investing in high-performing buildings that create long-term value for the benefit of our shareholders, tenants and employees.",2,"This statement refers to a high-level commitment to investing in high-performing, sustainable buildings.",3,This statement acknowledges past recognition and achievements in sustainability.
Kilroy_Reality,2014,"We aim to maintain our leadership position and deepen our commitment to sustainability, and we look forward to reporting on even more achievements in 2015.",2,This statement refers to a high-level commitment to maintain leadership in sustainability and achieve more in the future.,,
Kilroy_Reality,2014,"Our sustainability programs incorporate Social, Governance and Environmental aspects of our operations.",2,"This statement is a high-level commitment to sustainability, which includes environmental aspects.",,
Kilroy_Reality,2014,"We then formulate an action plan, such as developing a new training module, which we then implement.",5,This statement refers to the creation of a detailed plan or roadmap for sustainability.,,
Kilroy_Reality,2014,"This process has allowed us to, for instance, determine our environmental objectives (see page 6).",3,This statement refers to the setting of specific numeric targets as part of their environmental objectives.,,
Kilroy_Reality,2014,"On track. In 2014 we achieved a 2% reduction, and we hope to achieve our 10% reduction goal at year-end 2015.",3,This statement refers to a specific numeric target for reduction of environmental impact.,3,This statement acknowledges progress towards a past commitment.
Kilroy_Reality,2014,"Delayed. We achieved a 1.8% reduction this year, but as we increased in water usage last year we are unlikely to meet our 2017 goal, which we now hope to complete by year end 2018.",3,This statement refers to a specific numeric target for reduction of water usage.,4,This statement acknowledges a shortfall or missed target in their past commitments.
Kilroy_Reality,2014,"On track. All 3 ground-up 2014 projects achieved this target, in addition to a large tenant fit out, and future projects are on track to achieve it as well.",3,This statement refers to a specific numeric target for achieving LEED Gold certification or better.,3,This statement acknowledges progress towards a past commitment.
Kilroy_Reality,2014,"On track. We have participated in GRESB since 2011 and have published annual sustainability reports since 2011, and will continue to do both.",2,This statement is a high-level commitment to participate in industry standard disclosures and publish annual sustainability reports.,3,This statement acknowledges progress towards a past commitment.
Kilroy_Reality,2014,Our sustainability team prepares our sustainability report and is responsible for our participation in GRESB and the ENERGY STAR Partner of the Year application.,2,This statement refers to a high-level commitment to sustainability reporting and participation in external frameworks.,,
Kilroy_Reality,2014,"We have an ongoing commitment to the Rozalia Project, with whom we work to maximize their effectiveness in our markets.",2,This statement refers to a high-level commitment to a specific project.,,
Kilroy_Reality,2014,"We interpret this principle by assuming that the construction and management of our buildings has the potential to threaten the environment and building occupants, even though the scientific community may not have come to a consensus on what those potential threats may be.",2,This statement refers to a high-level commitment to precautionary principle in building construction and management.,,
Kilroy_Reality,2014,We will continue to be as aggressive as possible in minimizing our company’s impact on the environment and human health in the coming years.,2,This statement refers to a high-level commitment to minimize environmental and health impacts.,,
Kilroy_Reality,2014,"Reducing our energy consumption is the primary objective of our existing building environmental programs, and our goal since the inception of our sustainability programs in 2010 has been to achieve a 10% reduction from 2010 energy consumption levels by 2015.",3,This statement refers to a specific numeric target for energy reduction.,2,This statement refers to a past commitment to reduce energy consumption.
Kilroy_Reality,2014,"In 2014, we achieved our goal of reducing energy usage by 2% in the like-for-like portfolio from last year, and we are on track to achieve the 10% reduction from 2010 levels by the end of next year.",3,This statement refers to a specific numeric target for energy reduction.,3,This statement acknowledges progress towards a past commitment.
Kilroy_Reality,2014,In 2015 we intend to have Goby provide these services in all of our buildings.,2,This statement refers to a future commitment to expand the use of Goby's services to all buildings.,,
Kilroy_Reality,2014,"In 2011 we piloted our first oil fouling removal technology, and last year we did two installations with a competing product, Permafrost.",,,3,"This statement refers to past commitments and their progress, specifically the piloting and installation of oil fouling removal technology."
Kilroy_Reality,2014,"In 2014 Gridium was available only to buildings in Pacific Gas & Electric and Southern California Edison territories, and we have rolled out Gridium in all but two of the full service gross buildings in those territories.",,,3,"This statement refers to past commitments and their progress, specifically the rollout of Gridium in certain territories."
Kilroy_Reality,2014,We will extend it to the final two Pacific Gas & Electric buildings when those buildings get Demand Response capabilities through Enerliance in 2015.,2,This statement refers to a future commitment to extend Gridium to the final two Pacific Gas & Electric buildings.,,
Kilroy_Reality,2014,In 2015 we are planning to identify other buildings in the portfolio that may have duct leakage issues and extend this technology to them in 2016.,2,This statement refers to a future commitment to identify buildings with duct leakage issues and extend duct sealing technology to them.,,
Kilroy_Reality,2014,"We look forward to using both ENERGY STAR Portfolio Manager and their SeaSuite platform to analyze our energy and water data in 2015, and potentially set new energy and water reduction goals.",2,This statement refers to a future commitment to use certain platforms for data analysis and potentially set new reduction goals.,,
Kilroy_Reality,2014,Installations in 2015 are already planned for Hollywood and Los Angeles.,2,This statement refers to a high-level commitment to expand the network of electric vehicle charging stations in the future.,,
Kilroy_Reality,2014,"In 2014 we continued to expand our use of aqueous ozone, which allows us to clean without chemicals.",,,3,This statement acknowledges progress on a past commitment to expand the use of aqueous ozone for cleaning.
Kilroy_Reality,2014,The overall goal of our green cleaning program is to maintain green cleaning protocols that would earn the highest level of certification under LEED for Existing Buildings 2009 in all buildings in our portfolio; these protocols were implemented across the entire portfolio in 2012.,,,3,This statement acknowledges progress on a past commitment to implement green cleaning protocols across the entire portfolio.
