Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
Kilroy_Reality,2015,GOAL: 10% REDUCTION,3,This is a specific numeric target for future reduction of energy consumption.,,
Kilroy_Reality,2015,ACHIEVED: 11.3% REDUCTION,,,3,This refers to a past commitment that has been achieved.
Kilroy_Reality,2015,Completed final Demand Response testing for 2.2 million square feet of space,2,This is a high-level commitment to complete testing for energy efficiency.,,
Kilroy_Reality,2015,Completed 1 million square feet of ASHRAE Level II energy audits,2,This is a high-level commitment to complete energy audits.,,
Kilroy_Reality,2015,Completed 1.8 million square feet of retrocommissioning,2,This is a high-level commitment to complete retrocommissioning for energy efficiency.,,
Kilroy_Reality,2015,Our total estimated financial investment in energy efficiency improvements in the existing portfolio totaled approximately $6.7 million.,5,This is a detailed plan or roadmap for investing in energy efficiency improvements.,,
Kilroy_Reality,2015,"The 201 Third Street Fan Wall project cost approximately $960,000 to implement. The building expects a 20% yearly savings on electricity/energy usage.",5,This is a detailed plan or roadmap for implementing an energy efficiency project and expecting future savings.,,
Kilroy_Reality,2015,"Achieved a 8.9% reduction in water use from 2014 levels, an impressive achievement, bringing our total reduction from 2012 levels to 10%.",,,3,This statement acknowledges progress towards a past commitment.
Kilroy_Reality,2015,"Completed a major turf removal project in Long Beach that resulted in a savings of over 3 million gallons from 2014 levels, a 13% reduction in campus consumption overall",,,3,This statement acknowledges progress towards a past commitment.
Kilroy_Reality,2015,Completed a major irrigation retrofit in 11 San Diego buildings resulting in another 3 million gallon annual savings and an 18% reduction in overall consumption,,,3,This statement acknowledges progress towards a past commitment.
Kilroy_Reality,2015,Became the first commercial installers in California to specify extremely low flow 1.1 gpf toilets in addition to waterless urinals in our development projects.,2,This statement indicates a generic/high-level commitment to future sustainability efforts.,,
Kilroy_Reality,2015,"Our total estimated financial investment in water efficiency improvements in the existing portfolio totaled approximately $900,000.",,,3,This statement acknowledges progress towards a past commitment.
Kilroy_Reality,2015,NEW GOAL: 75% DIVERSION,3,This statement sets a specific numeric target for future commitments.,,
Kilroy_Reality,2015,EV Charging stations installed at every new development project,2,This statement indicates a generic/high-level commitment to future sustainability efforts.,,
Kilroy_Reality,2015,"Our main challenge is keeping up with increased tenant demand for charging stations, as installations can be costly. We address this challenge by installing the electrical infrastructure to accommodate future stations during the first charging installation on a property.",5,This statement outlines a detailed plan or roadmap for future commitments.,,
Kilroy_Reality,2015,100% of new leases contain green language,2,This statement indicates a generic/high-level commitment to future sustainability efforts.,,
Kilroy_Reality,2015,We participate in 100% of ENERGY STAR competitions and regional competitions where appropriate,6,This statement indicates a commitment to an external framework.,,
Kilroy_Reality,2015,"Sustainability efforts contributed to an overall energy reduction of 2% in 2015, and the campus’s first ENERGY STAR certification.",3,"This statement refers to a specific numeric target achieved in the past, which is a 2% reduction in energy use.",3,"This statement acknowledges progress or achievement of past commitments, specifically the achievement of the campus's first ENERGY STAR certification."
Kilroy_Reality,2015,"The goal for all Kilroy Realty ground-up new development has been at least LEED Gold since the launch of our sustainability programs in 2010. Since then, 100% of ground up development has earned LEED Gold.",3,"This statement refers to a specific numeric target for future commitments, which is achieving at least LEED Gold for all new developments.",3,"This statement acknowledges progress or achievement of past commitments, specifically that 100% of ground up development has earned LEED Gold since 2010."
Kilroy_Reality,2015,"At end of year 2015, 47% of our portfolio had achieved LEED certification, and we have an additional 8 projects, across 22 buildings and 3.3 million square feet, registered for certification.",3,"This statement refers to a specific numeric target for future commitments, which is achieving LEED certification for an additional 8 projects.",3,"This statement acknowledges progress or achievement of past commitments, specifically that 47% of the portfolio had achieved LEED certification by the end of 2015."
Kilroy_Reality,2015,"We continued working towards the LEED Platinum certifications for 350 Mission and 333 Brannan, both in San Francisco, and expect the certifications in Q1 2016.",3,"This statement refers to a specific numeric target for future commitments, which is achieving LEED Platinum certifications for 350 Mission and 333 Brannan.",2,"This statement mentions a past commitment, but the status is unknown."
Kilroy_Reality,2015,"Our One Paseo project, for example, has reduced the size of the development plan in response to community feedback.",,,3,This statement refers to a past commitment where the company has made progress by reducing the size of the development plan.
Kilroy_Reality,2015,Our One Paseo project team averted a ballot measure by reaching agreements with both the community groups and shopping center owner that led to a redesign of the project where we dropped the square footage from about 1.4M to 1.1M in order to limit the traffic trips.,,,3,This statement refers to a past commitment where the company has made progress by reaching agreements with community groups and shopping center owner.
Kilroy_Reality,2015,"One Paseo, targeting LEED for Neighborhood Development",3,"This statement refers to a specific numeric target for the One Paseo project, which is to achieve LEED for Neighborhood Development.",,
Kilroy_Reality,2015,"Flower Mart, targeting LEED Platinum",3,"This statement refers to a specific numeric target for the Flower Mart project, which is to achieve LEED Platinum.",,
Kilroy_Reality,2015,"Columbia Square, office buildings targeting LEED Gold, residential tower targeting WELL Gold",3,"This statement refers to specific numeric targets for the Columbia Square project, which are to achieve LEED Gold for office buildings and WELL Gold for the residential tower.",,
