Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
Kilroy_Reality,2018,we are committed to establishing carbon neutral operations by year-end of 2020.,4,This statement refers to a specific future commitment to achieve carbon-neutral operations.,,
Kilroy_Reality,2018,"This Sustainability Report contains forward-looking statements within the meaning of Section 27A of the Securities Act of 1933, as amended and Section 21E of the Securities Exchange Act of 1934, as amended.",2,"This statement refers to a high-level commitment to sustainability, but does not provide specific details or targets.",,
Kilroy_Reality,2018,Carbon neutral operations target announced at Global Climate Action Summit,4,This statement refers to a specific future commitment to achieve carbon-neutral operations.,,
Kilroy_Reality,2018,we became the first North American real estate owner to publicly commit to establishing carbon neutral operations by the end of 2020.,4,This statement refers to a specific future commitment to achieve carbon-neutral operations.,,
Kilroy_Reality,2018,We plan to execute on our commitment through a combination of onsite energy conservation and investments in renewable energy.,5,This statement refers to a detailed plan or roadmap for achieving the company's carbon-neutral commitment.,,
Kilroy_Reality,2018,"We achieved a 2% reduction in energy use across our portfolio, in line with our energy reduction targets.",,,3,This statement acknowledges progress towards a past commitment to reduce energy use.
Kilroy_Reality,2018,"We installed over 800 KW of solar across three sites in Long Beach, bringing our entire solar portfolio to approximately 4.3 MW.",,,3,This statement acknowledges progress towards a past commitment to increase the company's solar capacity.
Kilroy_Reality,2018,"The percentage of our portfolio certified under ENERGY STAR increased from 73% to 77% of whole portfolio eligible square footage, encompassing 50 buildings.",,,3,This statement acknowledges progress towards a past commitment to increase the percentage of the company's portfolio certified under ENERGY STAR.
Kilroy_Reality,2018,"Over the next five years, our focus will be on expanding our climate change resilience programs.",2,This statement refers to a high-level commitment to expand climate change resilience programs in the future.,,
Kilroy_Reality,2018,Our Board of Directors endorsed the recommendations of the Taskforce on Climate-related Financial Disclosures in 2018.,6,"This statement refers to a commitment to follow an external framework, the Taskforce on Climate-related Financial Disclosures.",3,"This statement acknowledges progress on a past commitment, the endorsement of the Taskforce on Climate-related Financial Disclosures."
Kilroy_Reality,2018,"Our main sustainability challenge is managing our water usage, which increased for the first time this year from 2017 levels, though our overall consumption is 6% lower than 2010 levels.",,,3,"This statement acknowledges progress on a past commitment, reducing water consumption."
Kilroy_Reality,2018,We believe that it is time for real estate to take its place in the global climate conversation.,2,This statement refers to a high-level commitment to engage in the global climate conversation.,,
Kilroy_Reality,2018,We became a supporter of the Taskforce on Climate-related Financial Disclosures (TCFD) in 2018 and our discussion of our climate change risks and opportunities will follow that framework.,6,"This statement refers to a commitment to follow an external framework, the Taskforce on Climate-related Financial Disclosures.",3,"This statement acknowledges progress on a past commitment, becoming a supporter of the Taskforce on Climate-related Financial Disclosures."
Kilroy_Reality,2018,"We have experienced development and asset management teams who will be able to mitigate these increases as much as possible. In addition, by committing to sustainable building, we have experienced expedited approvals and community support.",2,The company has made a high-level commitment to sustainable building.,,
Kilroy_Reality,2018,"The increased focus on emissions is why we verify and disclose our Scope 1 and 2 emissions both in this report and to a variety of disclosure platforms such as GRESB, CDP and DJSI and why we committed to establishing carbon neutral operations by the end of 2020 (more information page 29).",4,The company has committed to establishing carbon neutral operations by the end of 2020.,,
Kilroy_Reality,2018,"We follow the WRI/WBSCD GHG Protocol in developing and reporting our Scope 1 and 2 emissions inventory. We report both location-based and market-based scope 2 emissions. Our reported emissions are independently assured by DNV GL. Further, both our emissions and our targets for reductions were validated by Science Based Targets in 2018.6",6,The company has committed to a science-based or external framework commitment by following the WRI/WBSCD GHG Protocol and having their emissions and targets validated by Science Based Targets.,3,The company acknowledges progress on their commitment by reporting that their emissions and targets were validated by Science Based Targets in 2018.
Kilroy_Reality,2018,"Recognizing the importance of reducing the Company’s greenhouse gas impact on the environment, we have committed to establishing carbon neutral operations by December 31, 2020.",4,The company has committed to establishing carbon neutral operations by the end of 2020.,,
Kilroy_Reality,2018,We announced at the Global Climate Action Summit (GCAS) that we commit to establishing carbon neutral operations by year end 2020.,4,The company has committed to establishing carbon neutral operations by the end of 2020.,2,The company mentions a past commitment made at the Global Climate Action Summit.
Kilroy_Reality,2018,"Through these programs, KRC will reach Scope 1 (direct emissions from onsite combustion of natural gas) and Scope 2 (indirect emissions from onsite consumption of electricity) carbon neutrality by the end of 2020, exceeding our carbon reduction goals previously validated by Science Based Targets (see page 27).","4, 6","The statement mentions a specific future commitment to achieve carbon neutrality by the end of 2020. | The carbon reduction goals are validated by Science Based Targets, indicating a commitment to an external framework.",,
Kilroy_Reality,2018,"Achieve a 100% reduction in Scope 1 and Scope 2 GHG emissions from a 2017 base year by year end 2020, exceeding our carbon reduction goals previously validated by Science-Based Targets","3, 6","The statement mentions a specific numeric target for future carbon emissions reduction. | The carbon reduction goals are validated by Science Based Targets, indicating a commitment to an external framework.",,
Kilroy_Reality,2018,On track. In 2018 we put in place all contracts required to achieve this goal.,,,3,The statement acknowledges progress towards a past commitment.
Kilroy_Reality,2018,We reduced energy consumption in our portfolio by 2.02% in 2018 from 2017 consumption level.,,,3,The statement acknowledges progress towards a past commitment of reducing energy consumption.
Kilroy_Reality,2018,Tribeca West will establish carbon neutral operations with the rest of our portfolio at the end of 2020,4,The statement mentions a specific future commitment to achieve carbon neutrality by the end of 2020.,,
Kilroy_Reality,2018,Increased water use 5.4% from like-for-like 2017 levels. This was a disappointment and we will focus our 2019 efforts on better managing our water consumption.,2,This statement refers to a high-level commitment to better manage water consumption in the future.,4,"This statement acknowledges a shortfall in past commitments, as water use increased from 2017 levels."
Kilroy_Reality,2018,"We increased our total waste diversion percentage from 43% to 44.5%, from 2017.",,,3,"This statement acknowledges progress in past commitments, as waste diversion increased from 2017 levels."
